Subject,Accuracy
1,0.15000000596046448
2,0.8500000238418579
3,0.42500001192092896
4,0.9000000357627869
5,0.2750000059604645
6,0.574999988079071
7,0.25
8,0.5
9,0.875
10,0.699999988079071
11,0.625
12,0.949999988079071
13,0.949999988079071
14,0.800000011920929
15,0.699999988079071
16,0.20000000298023224
17,0.22500000894069672
18,0.824999988079071
19,0.875
20,0.15000000596046448
21,0.625
22,0.75
23,0.4000000059604645
24,0.6000000238418579
25,0.125
26,0.75
27,0.375
28,0.25
29,0.15000000596046448
30,0.25
31,0.6000000238418579
32,0.75
